location,region
"Albany, New York Metropolitan Area",US
"Ann Arbor, Michigan, United States",US
"Ashland, Oregon, United States",US
"Atlanta Metropolitan Are, United States",US
Atlanta Metropolitan Area,US
"Atlanta Metropolitan Area, United States",US
"Atlanta, Georgia, United States",US
"Austin, Texas , United States",US
"Austin, Texas Metropolitan Area",US
"Austin, Texas, United States",US
"Bellevue, Washington, United States",US
"Bend, Oregon, United States",US
"Birmingham, Alabama, United States",US
"Birmingham, Michigan, United States",US
"Blacksburg, Virginia, United States",US
"Bloomington, Indiana, United States",US
"Boca Raton, Florida, United States",US
"Boise, Idaho, United States",US
"Boston, Massachusetts, United States",US
"Bozeman, Montana, United States",US
"Bradenton, Florida, United States",US
"Brooklyn, New York, United States",US
"Calabasas, California, United States",US
"Cambridge, Massachusetts, United States",US
"Canton, Ohio, United States",US
"Carrollton, Texas, United States",US
"Chapel Hill, North Carolina, United States",US
"Charleston, South Carolina Metropolitan Area",US
"Charlotte, North Carolina, United States",US
"Cheshire, Connecticut, United States",US
"Chicago, Illinois, United States",US
"Cleveland, Ohio, United States",US
"Colorado Springs, Colorado, United States",US
"Columbia, Missouri, United States",US
"Columbus, Ohio Metropolitan Area , United States",US
Dallas-Fort Worth Metroplex,US
"Dallas-Fort Worth Metroplex, United States",US
"Dallas, Texas, United States",US
Denver Metropolitan Area,US
"Denver, Colorado, United States",US
"Detroit, Michigan, United States",US
"Draper, Utah, United States",US
"Duluth, Minnesota, United States",US
"Durham, New Hampshire, United States",US
"El Segundo, California, United States",US
"Elk Grove, California, United States",US
"Encinitas,, California, United States",US
"Fleming Island, Florida, United States",US
"Fort Wayne, Indiana, United States",US
"Framingham, Massachusetts, United States",US
"Fredericksburg, Virginia, United States",US
"Frisco, Texas, United States",US
"Glencoe, Illinois, United States",US
Gold Coast,US
"Golden, Colorado, United States",US
"Grand Rapids, Michigan, United States",US
"Greater Birmingham, Alabama Area",US
Greater Boston,US
"Greater Boston , United States",US
"Greater Boston, United States",US
"Greater Calgary Metropolitan Area , United States",US
Greater Chicago Area,US
"Greater Chicago Area , United States",US
"Greater Chicago Area, United States",US
"Greater Fayetteville, AR Area",US
Greater Hartford,US
"Greater Houston, United States",US
"Greater Milwaukee , United States",US
Greater New Orleans Region,US
Greater Orlando,US
Greater Philadelphia,US
"Greater Phoenix Area, United States",US
Greater Pittsburgh Region,US
Greater Seattle Area,US
"Greater Seattle Area, United States",US
Greater St. Louis,US
"Greater St. Louis, United States",US
Greater Tampa Bay Area,US
"Greater Tampa Bay Area, United States",US
"Greenville-Spartanburg-Anderson, South Carolina Area, United States",US
"Hastings-On-Hudson, New York, United States",US
"Havre de Grace, Maryland, United States",US
"Heathsville, Virginia, United States",US
"Helsinki, Uusimaa, Finland",US
"Henderson, Nevada, United States",US
"Henniker,  New Hampshire, United States",US
"Honolulu, Hawaii, United States",US
"Indianapolis, Indiana, United States",US
"Jackson, Michigan, United States",US
"Knoxville Metropolitan Area , United States",US
"Knoxville Metropolitan Area, United States",US
"Laguna Beach, California, United States",US
"Las Vegas Metropolitan Area , United States",US
"Las Vegas Metropolitan Area, United States",US
"Las Vegas, Nevada, United States",US
Little Rock Metropolitan Area,US
